team,r32_count,r16_count,qf_count,sf_count,final_count,winner_count,r32_prob,r16_prob,qf_prob,sf_prob,final_prob,winner_prob,confederation,fifa_rank,rank_change,elo,form_score
Spain,999,808,612,509,386,269,0.999,0.808,0.612,0.509,0.386,0.269,UEFA,2,8,2229.7567794417023,59.0
Argentina,986,719,605,466,302,182,0.986,0.719,0.605,0.466,0.302,0.182,CONMEBOL,3,-1,2179.651450788336,37.0
France,951,724,475,332,193,116,0.951,0.724,0.475,0.332,0.193,0.116,UEFA,1,2,2124.778622286288,46.0
England,966,697,452,278,157,69,0.966,0.697,0.452,0.278,0.157,0.069,UEFA,4,1,2094.7230093084663,54.0
Brazil,955,644,416,238,123,49,0.955,0.644,0.416,0.238,0.123,0.049,CONMEBOL,6,-5,2050.192144690647,22.0
Colombia,922,631,357,178,84,41,0.922,0.631,0.357,0.178,0.084,0.041,CONMEBOL,13,4,2064.025446972292,20.0
Netherlands,919,556,351,185,78,38,0.919,0.556,0.351,0.185,0.078,0.038,UEFA,7,-1,2019.4196626072433,40.0
Germany,951,608,308,164,71,29,0.951,0.608,0.308,0.164,0.071,0.029,UEFA,10,4,1987.7425040916585,35.0
Ecuador,963,652,355,223,84,28,0.963,0.652,0.355,0.223,0.084,0.028,CONMEBOL,23,18,2015.3643384459688,9.0
Portugal,906,545,291,141,63,26,0.906,0.545,0.291,0.141,0.063,0.026,UEFA,5,4,2023.4700911908965,56.0
Croatia,885,484,237,121,54,24,0.885,0.484,0.237,0.121,0.054,0.024,UEFA,11,-4,1994.7570903147828,32.0
Morocco,854,445,246,112,49,21,0.854,0.445,0.246,0.112,0.049,0.021,CAF,8,3,1972.941440105271,63.0
Uruguay,921,358,204,117,56,20,0.921,0.358,0.204,0.117,0.056,0.02,CONMEBOL,17,-1,1976.0116668148607,23.0
Norway,800,430,188,88,35,15,0.8,0.43,0.188,0.088,0.035,0.015,UEFA,31,12,1964.612716200395,40.0
Japan,869,391,203,83,28,11,0.869,0.391,0.203,0.083,0.028,0.011,AFC,18,2,1963.035668240791,61.0
Mexico,967,616,280,115,37,10,0.967,0.616,0.28,0.115,0.037,0.01,CONCACAF,15,0,1959.693816879822,23.0
Turkey,719,462,237,80,21,8,0.719,0.462,0.237,0.08,0.021,0.008,UEFA,22,22,1936.92107812798,21.0
Switzerland,925,570,284,75,22,7,0.925,0.57,0.284,0.075,0.022,0.007,UEFA,19,-7,1942.8303598478783,14.0
Canada,973,566,238,67,22,5,0.973,0.566,0.238,0.067,0.022,0.005,CONCACAF,30,23,1896.2889432440495,14.0
Paraguay,680,400,168,55,28,5,0.68,0.4,0.168,0.055,0.028,0.005,CONMEBOL,40,6,1919.3286744919255,-13.0
South Korea,795,397,158,43,11,5,0.795,0.397,0.158,0.043,0.011,0.005,AFC,25,0,1877.9734524568796,32.0
Senegal,753,365,135,58,24,3,0.753,0.365,0.135,0.058,0.024,0.003,CAF,14,5,1926.791648261997,43.0
United States,751,369,130,25,6,3,0.751,0.369,0.13,0.025,0.006,0.003,CONCACAF,16,-3,1832.9494089052896,37.0
Belgium,865,493,201,56,17,3,0.865,0.493,0.201,0.056,0.017,0.003,UEFA,9,-5,1923.023705469272,36.0
Australia,583,297,107,27,11,3,0.583,0.297,0.107,0.027,0.011,0.003,AFC,27,0,1883.4191757238343,45.0
Panama,697,248,76,22,8,2,0.697,0.248,0.076,0.022,0.008,0.002,CONCACAF,33,28,1849.740522694008,26.0
Algeria,588,148,51,21,7,2,0.588,0.148,0.051,0.021,0.007,0.002,CAF,28,10,1850.760962525782,41.0
Austria,660,179,79,24,7,2,0.66,0.179,0.079,0.024,0.007,0.002,UEFA,24,10,1872.8696908624904,32.0
Jordan,412,75,19,1,1,1,0.412,0.075,0.019,0.001,0.001,0.001,AFC,63,21,1780.6534798377895,33.0
New Zealand,542,174,37,7,1,1,0.542,0.174,0.037,0.007,0.001,0.001,OFC,85,20,1766.959829703607,52.0
Iran,746,356,119,30,6,1,0.746,0.356,0.119,0.03,0.006,0.001,AFC,21,3,1872.963675378442,35.0
Scotland,604,195,72,9,2,1,0.604,0.195,0.072,0.009,0.002,0.001,UEFA,43,-1,1830.6372210421189,11.0
DR Congo,330,66,11,1,0,0,0.33,0.066,0.011,0.001,0.0,0.0,CAF,46,27,1750.3992713146374,19.0
Bosnia and Herzegovina,447,79,13,0,0,0,0.447,0.079,0.013,0.0,0.0,0.0,UEFA,65,-8,1632.9608168950872,-16.0
Cape Verde,267,25,3,1,0,0,0.267,0.025,0.003,0.001,0.0,0.0,CAF,69,3,1657.0037011899965,11.0
Tunisia,415,81,27,3,1,0,0.415,0.081,0.027,0.003,0.001,0.0,CAF,44,-15,1734.5510153524017,27.0
Curaçao,181,21,3,0,0,0,0.181,0.021,0.003,0.0,0.0,0.0,CONCACAF,82,4,1621.1621160682707,21.0
Sweden,469,101,26,5,1,0,0.469,0.101,0.026,0.005,0.001,0.0,UEFA,38,-15,1754.8837065122243,7.0
Czech Republic,581,230,56,9,1,0,0.581,0.23,0.056,0.009,0.001,0.0,UEFA,41,-2,1773.8404081524145,8.0
Egypt,592,206,50,7,1,0,0.592,0.206,0.05,0.007,0.001,0.0,CAF,29,11,1801.4242652061284,18.0
South Africa,305,94,14,1,0,0,0.305,0.094,0.014,0.001,0.0,0.0,CAF,60,7,1666.8081432879508,21.0
Ivory Coast,574,186,41,10,1,0,0.574,0.186,0.041,0.01,0.001,0.0,CAF,34,13,1784.240134087426,37.0
Saudi Arabia,296,38,9,3,0,0,0.296,0.038,0.009,0.003,0.0,0.0,AFC,61,-13,1687.3166217128537,4.0
Qatar,266,29,2,0,0,0,0.266,0.029,0.002,0.0,0.0,0.0,AFC,55,5,1591.4387247414088,6.0
Ghana,146,9,1,0,0,0,0.146,0.009,0.001,0.0,0.0,0.0,CAF,74,-16,1615.8299206365696,13.0
Haiti,292,47,8,0,0,0,0.292,0.047,0.008,0.0,0.0,0.0,CONCACAF,83,4,1692.2823612432412,42.0
Iraq,214,45,8,1,0,0,0.214,0.045,0.008,0.001,0.0,0.0,AFC,57,11,1710.777392688835,12.0
Uzbekistan,518,141,37,9,1,0,0.518,0.141,0.037,0.009,0.001,0.0,AFC,50,27,1823.3316270587825,34.0
